symbol,yahoo_symbol,asset_name,market,asset_type,country
042420,042420.KQ,네오위즈홀딩스,KOSDAQ,STOCK,KR
042500,042500.KQ,링네트,KOSDAQ,STOCK,KR
042510,042510.KQ,라온시큐어,KOSDAQ,STOCK,KR
042520,042520.KQ,한스바이오메드,KOSDAQ,STOCK,KR
042600,042600.KQ,새로닉스,KOSDAQ,STOCK,KR
042940,042940.KQ,상지건설,KOSDAQ,STOCK,KR
043090,043090.KQ,더테크놀로지,KOSDAQ,STOCK,KR
043100,043100.KQ,알파AI,KOSDAQ,STOCK,KR
043150,043150.KQ,바텍,KOSDAQ,STOCK,KR
043200,043200.KQ,파루,KOSDAQ,STOCK,KR
043220,043220.KQ,티에스넥스젠,KOSDAQ,STOCK,KR
043260,043260.KQ,성호전자,KOSDAQ,STOCK,KR
043340,043340.KQ,에쎈테크,KOSDAQ,STOCK,KR
043360,043360.KQ,디지아이,KOSDAQ,STOCK,KR
043370,043370.KQ,피에이치에이,KOSDAQ,STOCK,KR
043590,043590.KQ,웰킵스하이텍,KOSDAQ,STOCK,KR
043610,043610.KQ,KT지니뮤직,KOSDAQ,STOCK,KR
043650,043650.KQ,국순당,KOSDAQ,STOCK,KR
043710,043710.KQ,코스리거글로벌,KOSDAQ,STOCK,KR
043910,043910.KQ,자연과환경,KOSDAQ,STOCK,KR
044180,044180.KQ,KD,KOSDAQ,STOCK,KR
044340,044340.KQ,위닉스,KOSDAQ,STOCK,KR
044480,044480.KQ,빌리언스,KOSDAQ,STOCK,KR
044490,044490.KQ,태웅,KOSDAQ,STOCK,KR
044780,044780.KQ,에이치케이,KOSDAQ,STOCK,KR
044960,044960.KQ,이글벳,KOSDAQ,STOCK,KR
044990,044990.KQ,에이치엔에스하이텍,KOSDAQ,STOCK,KR
045060,045060.KQ,오공,KOSDAQ,STOCK,KR
045100,045100.KQ,한양이엔지,KOSDAQ,STOCK,KR
045300,045300.KQ,성우테크론,KOSDAQ,STOCK,KR
045340,045340.KQ,토탈소프트,KOSDAQ,STOCK,KR
045390,045390.KQ,대아티아이,KOSDAQ,STOCK,KR
045510,045510.KQ,정원엔시스,KOSDAQ,STOCK,KR
045520,045520.KQ,크린앤사이언스,KOSDAQ,STOCK,KR
045660,045660.KQ,에이텍,KOSDAQ,STOCK,KR
045970,045970.KQ,코아시아,KOSDAQ,STOCK,KR
046070,046070.KQ,코다코,KOSDAQ,STOCK,KR
046120,046120.KQ,오르비텍,KOSDAQ,STOCK,KR
046210,046210.KQ,HLB파나진,KOSDAQ,STOCK,KR
046310,046310.KQ,백금T&A,KOSDAQ,STOCK,KR
046390,046390.KQ,삼화네트웍스,KOSDAQ,STOCK,KR
046440,046440.KQ,KG파이낸셜,KOSDAQ,STOCK,KR
046890,046890.KQ,서울반도체,KOSDAQ,STOCK,KR
046940,046940.KQ,우원개발,KOSDAQ,STOCK,KR
046970,046970.KQ,우리로,KOSDAQ,STOCK,KR
047080,047080.KQ,한빛소프트,KOSDAQ,STOCK,KR
047310,047310.KQ,파워로직스,KOSDAQ,STOCK,KR
047560,047560.KQ,이스트소프트,KOSDAQ,STOCK,KR
047770,047770.KQ,코데즈컴바인,KOSDAQ,STOCK,KR
047820,047820.KQ,초록뱀미디어,KOSDAQ,STOCK,KR
047920,047920.KQ,HLB제약,KOSDAQ,STOCK,KR
048410,048410.KQ,현대바이오,KOSDAQ,STOCK,KR
048430,048430.KQ,유라테크,KOSDAQ,STOCK,KR
048470,048470.KQ,대동스틸,KOSDAQ,STOCK,KR
048530,048530.KQ,인트론바이오,KOSDAQ,STOCK,KR
048550,048550.KQ,SM C&C,KOSDAQ,STOCK,KR
048770,048770.KQ,TPC로보틱스,KOSDAQ,STOCK,KR
048830,048830.KQ,엔피케이,KOSDAQ,STOCK,KR
048870,048870.KQ,시너지이노베이션,KOSDAQ,STOCK,KR
048910,048910.KQ,대원미디어,KOSDAQ,STOCK,KR
049070,049070.KQ,인탑스,KOSDAQ,STOCK,KR
